"words"	"Freq"
"classical"	16
"conducted"	16
"confirm"	16
"correlation"	16
"demonstrate"	16
"distinct"	16
"end"	16
"enteric"	16
"eric"	16
"estimated"	16
"fmd"	16
"genotyping"	16
"geographic"	16
"germany"	16
"greater"	16
"immunity"	16
"improve"	16
"industry"	16
"inoculated"	16
"ipbc"	16
"markers"	16
"multiple"	16
"o"	16
"organs"	16
"pathogenicity"	16
"ph"	16
"proteins"	16
"protocol"	16
"provided"	16
"purpose"	16
"represents"	16
"serotypes"	16
"seven"	16
"simple"	16
"siv"	16
"strategies"	16
"studied"	16
"subsp"	16
"sweden"	16
"target"	16
"traditional"	16
"virology"	16
"wildlife"	16
"27100"	15
"42"	15
"95%"	15
"accuracy"	15
"antimicrobials"	15
"batches"	15
"centro"	15
"classified"	15
"colonization"	15
"conventional"	15
"cx"	15
"deer"	15
"despite"	15
"determine"	15
"diffusion"	15
"diversity"	15
"eggs"	15
"endemic"	15
"examination"	15
"flocks"	15
"g"	15
"henselae"	15
"hunting"	15
"induced"	15
"involving"	15
"least"	15
"limited"	15
"microbial"	15
"microbiological"	15
"monoclonal"	15
"multiplex"	15
"north"	15
"o157"	15
"part"	15
"performances"	15
"pigeons"	15
"polymorphisms"	15
"prrs"	15
"reduce"	15
"reducing"	15
"screening"	15
"stress"	15
"swabs"	15
"together"	15
"understanding"	15
"usuv"	15
"water"	15
"weeks"	15
"welfare"	15
"zopfii"	15
"(5)istituto"	14
"1%)"	14
"13"	14
"2%"	14
"2016"	14
"25"	14
"27"	14
"5%)"	14
"6%)"	14
"agricultural"	14
"alone"	14
"analytes"	14
"antibiotics"	14
"aosta"	14
"australia"	14
"berne"	14
"boars"	14
"breeds"	14
"center"	14
"chronic"	14
"ci"	14
"cluster"	14
"collection"	14
"commonly"	14
"costs"	14
"derived"	14
"describes"	14
"diarrhoea"	14
"emergence"	14
"employed"	14
"encoding"	14
"escherichia"	14
"features"	14
"finally"	14
"inactivated"	14
"limits"	14
"lineages"	14
"mach"	14
"metabolic"	14
"microscopy"	14
"mlva"	14
"particularly"	14
"pattern"	14
"pbmc"	14
"phase"	14
"plant"	14
"pneumoniae"	14
"procedures"	14
"provides"	14
"quality"	14
"rats"	14
"release"	14
"sampling"	14
"selection"	14
"statistically"	14
"still"	14
"syndrome"	14
"technology"	14
"teramo"	14
"turkeys"	14
"unique"	14
"universidade"	14
"variants"	14
"(2)istituto"	13
"(4)istituto"	13
")"	13
"100%"	13
"15"	13
"20"	13
"2012"	13
"23"	13
"30"	13
"adult"	13
"assessment"	13
"characterize"	13
"culex"	13
"describe"	13
"difference"	13
"ecology"	13
"electron"	13
"embryonated"	13
"exposed"	13
"extraction"	13
"family"	13
"fever"	13
"fondazione"	13
"frequency"	13
"genetically"	13
"haemorrhagic"	13
"hare"	13
"hyodysenteriae"	13
"independent"	13
"inhibition"	13
"innate"	13
"investigation"	13
"length"	13
"linear"	13
"liquid"	13
"lps"	13
"lung"	13
"mic"	13
"microbiology"	13
"multilocus"	13
"na"	13
"nantes"	13
"neutralization"	13
"neutralizing"	13
"nine"	13
"none"	13
"peripheral"	13
"processing"	13
"programmes"	13
"quantification"	13
"rumen"	13
"sensitive"	13
"serogroup"	13
"sezione"	13
"shedding"	13
"snps"	13
"spectrometry"	13
"trial"	13
"vaccines"	13
"yet"	13
"(i"	12
"[5]"	12
"<"	12
"2007"	12
"2014"	12
"24"	12
"32"	12
"99"	12
"agents"	12
"along"	12
"amb"	12
"application"	12
"appropriate"	12
"asf"	12
"cat"	12
"central"	12
"clear"	12
"comparison"	12
"competitive"	12
"concern"	12
"confirmatory"	12
"consistent"	12
"contrast"	12
"crucial"	12
"cytokine"	12
"dead"	12
"defined"	12
"diarrhea"	12
"died"	12
"division"	12
"eight"	12
"em"	12
"essential"	12
"events"	12
"faculty"	12
"finding"	12
"general"	12
"grouped"	12
"h"	12
"hemagglutinin"	12
"igg"	12
"improved"	12
"individual"	12
"induction"	12
"infantum"	12
"interaction"	12
"interestingly"	12
"interval"	12
"investiga„ß„£o"	12
"k"	12
"laboratories"	12
"libya"	12
"litter"	12
"matteo"	12
"maximum"	12
"medical"	12
"members"	12
"microbiota"	12
"mild"	12
"mlst"	12
"opposed"	12
"pathology"	12
"pigeon"	12
"po"	12
"possibly"	12
"prevalent"	12
"pseudotuberculosis"	12
"ranged"	12
"reactivity"	12
"real"	12
"regarding"	12
"required"	12
"salmonellosis"	12
"san"	12
"school"	12
"separate"	12
"shows"	12
"size"	12
"skin"	12
"sources"	12
"suitable"	12
"svd"	12
"sydney"	12
"systemic"	12
"temperature"	12
"therapy"	12
"threat"	12
"toxin"	12
"transmitted"	12
"treated"	12
"union"	12
"usutu"	12
"valley"	12
"vivo"	12
"(2"	11
"(4)department"	11
"(6)istituto"	11
"(7)istituto"	11
"05)"	11
"17"	11
"2006"	11
"2015"	11
"28"	11
"54"	11
"90"	11
"account"	11
"across"	11
"actions"	11
"adaptation"	11
"aimed"	11
"albopictus"	11
"allowing"	11
"austria"	11
"bacteriological"	11
"bats"	11
"best"	11
"bone"	11
"breeding"	11
"brown"	11
"cellular"	11
"cfu/g"	11
"choleraesuis"	11
"chromatography"	11
"compounds"	11
"contacts"	11
"contribute"	11
"corresponding"	11
"cost"	11
"cow"	11
"cultures"	11
"death"	11
"decreased"	11
"designed"	11
"develop"	11
"directly"	11
"discriminatory"	11
"dogs"	11
"elisas"	11
"epithelial"	11
"final"	11
"fluid"	11
"forms"	11
"frequently"	11
"fruit"	11
"genomes"	11
"h7"	11
"healthy"	11
"heat"	11
"highlighted"	11
"ifn-alpha"	11
"include"	11
"industrial"	11
"investigations"	11
"jejuni"	11
"lack"	11
"lairage"	11
"linked"	11
"liver"	11
"long"	11
"lymph"	11
"made"	11
"mammary"	11
"melatonin"	11
"milano"	11
"monitored"	11
"morphological"	11
"network"	11
"objectives"	11
"originated"	11
"paper"	11
"parasites"	11
"pathological"	11
"piedmont"	11
"play"	11
"pointed"	11
"points"	11
"power"	11
"practices"	11
"precision"	11
"predictive"	11
"prevent"	11
"programs"	11
"properties"	11
"proposed"	11
"protection"	11
"protrusions"	11
"recombinant"	11
"recovered"	11
"reports"	11
"reproductive"	11
"respect"	11
"resulting"	11
"rhdv"	11
"serovars"	11
"shared"	11
"slaughterhouse"	11
"southern"	11
"stable"	11
"subsequent"	11
"suggested"	11
"surface"	11
"svdv"	11
"switzerland"	11
"techniques"	11
"third"	11
"throughout"	11
"transport"	11
"trucks"	11
"typical"	11
"uk"	11
"vair„£o"	11
"various"	11
"vero"	11
"vesicular"	11
"weight"	11
"(4"	10
"(group"	10
"(p"	10
"29"	10
"35"	10
"4%)"	10
"8%)"	10
"97"	10
"„ó"	10
"a(h1n1)pdm09"	10
"abundance"	10
"acids"	10
"agreement"	10
"allowed"	10
"approaches"	10
"barrier"	10
"become"	10
"between-farm"	10
"binding"	10
"blaschkeae"	10
"characterised"	10
"class"	10
"clustered"	10
"com"	10
"commission"	10
"context"	10
"controls"	10
"cp"	10
"cut-off"	10
"deb"	10
"diagnostica"	10
"efficacy"	10
"emerged"	10
"emm18"	10
"enrichment"	10
"enterocolitica"	10
"eu"	10
"europa"	10
"evolutionary"	10
"exhibited"	10
"factor"	10
"fattening"	10
"fed"	10
"flavivirus"	10
"fluids"	10
"foot-and-mouth"	10
"fragment"	10
"free"	10
"fusion"	10
"gave"	10
"generated"	10
"goat"	10
"h3n8"	10
"hares"	10
"hw"	10
"Ó≥-pga"	10
"immunosorbent"	10
"implemented"	10
"incidence"	10
"index"	10
"indicating"	10
"individuals"	10
"interest"	10
"ipec-j2"	10
"iv"	10
"la"	10
"lactating"	10
"latter"	10
"load"	10
"membrane"	10
"michele"	10
"month"	10
"months"	10
"mscs"	10
"muscle"	10
"ones"	10
"padova"	10
"particles"	10
"pathway"	10
"physiopathology"	10
"plants"	10
"polymorphism"	10
"positions"	10
"potentially"	10
"primary"	10
"primers"	10
"province"	10
"quinolones"	10
"ranging"	10
"ratio"	10
"regeneration"	10
"regional"	10
"regression"	10
"relationship"	10
"remaining"	10
"restricted"	10
"reverse"	10
"rise"	10
"rrna"	10
"salute"	10
"science"	10
"scienze"	10
"sporadic"	10
"suggests"	10
"taken"	10
"tank"	10
"temporal"	10
"tetracycline"	10
"tools"	10
"until"	10
"uppsala"	10
"vl"	10
"western"	10
"%)"	9
"(3"	9
"(wnv)"	9
"100"	9
"2%)"	9
"2002/657/ec"	9
"21"	9
"2b"	9
"36"	9
"4%"	9
"4/o"	9
"52"	9
"60"	9
"7%)"	9
"98"	9
"accurate"	9
"africa"	9
"agar"	9
"aims"	9
"almost"	9
"always"	9
"antonio"	9
"around"	9
"asia"	9
"behaviour"	9
"belgium"	9
"biodiversidade"	9
"biosecurity"	9
"bruno"	9
"canine"	9
"capability"	9
"category"	9
"ci„™ncias"	9
"clones"	9
"comparative"	9
"condition"	9
"contained"	9
"containing"	9
"correlated"	9
"count"	9
"critical"	9
"culling"	9
"cultured"	9
"damage"	9
"detecting"	9
"diets"	9
"diffuse"	9
"dose"	9
"drugs"	9
"efficient"	9
"epitope"	9
"equine"	9
"extensive"	9
"extracted"	9
"facilities"	9
"farmed"	9
"farming"	9
"foodborne"	9
"foot"	9
"friesian"	9
"gel"	9
"global"	9
"h1n1pdm"	9
"heavy"	9
"herein"	9
"highlight"	9
"holstein"	9
"horses"	9
"hundred"	9
"Óîznuabc"	9
"ifn-Ó≥"	9
"iga"	9
"implementation"	9
"infect"	9
"inhibit"	9
"interesting"	9
"iso"	9
"italy)"	9
"large-scale"	9
"leishmania"	9
"linearity"	9
"live"	9
"loci"	9
"majority"	9
"mediterranean"	9
"mic90"	9
"mln"	9
"modified"	9
"naturally"	9
"neuraminidase"	9
"nodes"	9
"observation"	9
"onset"	9
"others"	9
"partial"	9
"pc"	9
"pcv2"	9
"phenotype"	9
"place"	9
"plasmid"	9
"prior"	9
"problem"	9
"productive"	9
"proportion"	9
"protocols"	9
"putative"	9
"rapidly"	9
"rather"	9
"recursos"	9
"relation"	9
"repeat"	9
"restriction"	9
"review"	9
"route"	9
"rva"	9
"sand"	9
"seafood"	9
"sequenced"	9
"seropositive"	9
"simultaneous"	9
"sivs"	9
"staphylococcus"	9
"strongly"	9
"targeting"	9
"tnf-Ó±"	9
"tularensis"	9
"universit„©"	9
"usually"	9
"vegetable"	9
"venezie"	9
"vibrio"	9
"virgin"	9
"virological"	9
"world"	9
"young"	9
"(1)"	8
"(2)"	8
"(8)istituto"	8
"(fmd)"	8
"(ha)"	8
"(map)"	8
"(mlst)"	8
"000"	8
"00161"	8
"18"	8
"2017"	8
"26"	8
"31"	8
"40"	8
"50"	8
"56"	8
"73"	8
"78"	8
"94"	8
"absence"	8
"achieved"	8
"act"	8
"action"	8
"adaptive"	8
"administered"	8
"ae"	8
"aeruginosa"	8
"allow"	8
"amp2041"	8
"anamaria"	8
"another"	8
"avian-like"	8
"bacteremic"	8
"bayesian"	8
"body"	8
"box"	8
"bvdv"	8
"calzolari@izsler"	8
"campylobacter"	8
"capacity"	8
"catches"	8
"causative"	8
"cell-mediated"	8
"challenged"	8
"change"	8
"cheesemaking"	8
"clade"	8
"classification"	8
"clustering"	8
"compare"	8
"confidence"	8
"conserved"	8
"content"	8
"correct"	8
"country"	8
"cultural"	8
"database"	8
"decade"	8
"denmark"	8
"derby"	8
"diverse"	8
"duration"	8
"elena"	8
"enrofloxacin"	8
"environments"	8
"enzyme-linked"	8
"epidemics"	8
"excellent"	8
"experiment"	8
"experiments"	8
"far"	8
"feces"	8
"flow"	8
"foods"	8
"framework"	8
"fully"	8
"function"	8
"gain"	8
"grms"	8
"half"	8
"having"	8
"heterologous"	8
"homologous"	8
"hospital"	8
"housing"	8
"hygiene"	8
"identifying"	8
"il-8"	8
"immunofluorescence"	8
"immunology"	8
"induce"	8
"inoculation"	8
"interactions"	8
"internal"	8
"intradermal"	8
"introduced"	8
"issues"	8
"january"	8
"kg(-1)"	8
"kidney"	8
"kpc-kp"	8
"larvae"	8
"later"	8
"lazio"	8
"led"	8
"little"	8
"lodi"	8
"logistic"	8
"lowest"	8
"lungs"	8
"mallards"	8
"material"	8
"mattia"	8
"member"	8
"mg/kg"	8
"minimum"	8
"mixed"	8
"napoli"	8
"nasal"	8
"nazionale"	8
"nevertheless"	8
"newly"	8
"obtain"	8
"ovitraps"	8
"parasite"	8
"patient"	8
"persistence"	8
"phases"	8
"piacenza"	8
"point"	8
"policlinico"	8
"pork"	8
"possibility"	8
"pregnant"	8
"preparation"	8
"pressure"	8
"preventive"	8
"randomly"	8
"reggio"	8
"regulation"	8
"reliable"	8
"reservoirs"	8
"respectively)"	8
"ricinus"	8
"ripening"	8
"routes"	8
"segments"	8
"september"	8
"serious"	8
"serology"	8
"similarity"	8
"south"	8
"spa"	8
"spectra"	8
"stage"	8
"step"	8
"subjected"	8
"subsequently"	8
"subset"	8
"superior"	8
"survival"	8
"suspected"	8
"symptoms"	8
"taramelli"	8
"tb"	8
"ten"	8
"tolerance"	8
"toscana"	8
"transcription"	8
"tuberculin"	8
"understand"	8
"usa"	8
"valuable"	8
"variation"	8
"vp1"	8
"vvibdv"	8
"(3)department"	7
"(95%"	7
"(i)"	7
"(ii)"	7
"(rhdv)"	7
"0%)"	7
"147"	7
"299"	7
"38010"	7
"49"	7
"51"	7
"61"	7
"64100"	7
"93"	7
"‚±"	7
"abortus"	7
"affect"	7
"america"	7
"analyse"	7
"antigens"	7
"appeared"	7
"appears"	7
"assigned"	7
"attention"	7
"authors"	7
"bacteriology"	7
"batch"	7
"belong"	7
"biodiversity"	7
"biologia"	7
"c&d"	7
"calculated"	7
"calving"	7
"caninum"	7
"capsid"	7
"chamois"	7
"clades"	7
"clinic"	7
"close"	7
"codon"	7
"column"	7
"comprising"	7
"concerns"	7
"confirmation"	7
"consecutive"	7
"continuous"	7
"contrary"	7
"contributed"	7
"cooking"	7
"coupled"	7
"da"	7
"davide"	7
"dependent"	7
"detectable"	7
"differed"	7
"dip"	7
"displayed"	7
"domain"	7
"dry"	7
"eastern"	7
"edmund"	7
"effectiveness"	7
"electrophoresis"	7
"electrospray"	7
"embb"	7
"emcv"	7
"enhanced"	7
"enterobacteriaceae"	7
"entire"	7
"entomological"	7
"epitopes"	7
"every"	7
"experimentally"	7
"expressed"	7
"extended"	7
"fact"	7
"failure"	7
"fast"	7
"feeding"	7
"florfenicol"	7
"focused"	7
"form"	7
"fr"	7
"frequent"	7
"gentamicin"	7
"gross"	7
"ground"	7
"h1"	7
"heterogeneity"	7
"hi"	7
"highlighting"	7
"highlights"	7
"holdings"	7
"identical"	7
"ifn"	7
"immunohistochemistry"	7
"includes"	7
"influence"	7
"injected"	7
"innovation"	7
"intensive"	7
"intracellular"	7
"invasion"	7
"irccs"	7
"kebab"	7
"lagovirus"	7
"legnaro"	7
"lelli@izsler"	7
"locus"	7
"loss"	7
"low-dose"	7
"m-18"	7
"mammalian"	7
"manufacturing"	7
"mdck"	7
"median"	7
"methicillin-resistant"	7
"miru-vntr"	7
"mitochondria"	7
"moderate"	7
"mostly"	7
"mouse"	7
"mycoplasma"	7
"named"	7
"negligible"	7
"nodules"	7
"nov"	7
"numerous"	7
"nutrition"	7
"occur"	7
"occurring"	7
"oh"	7
"old"	7
"older"	7
"on-farm"	7
"originating"	7
"oxidative"	7
"parallel"	7
"parasitology"	7
"patients"	7
"percentage"	7
"periods"	7
"ph1n1"	7
"piemonte"	7
"plating"	7
"pleuritis"	7
"ploufragan"	7
"pr40"	7
"preliminary"	7
"prevention"	7
"probable"	7
"producers"	7
"proper"	7
"protective"	7
"prrsv-1"	7
"prv"	7
"pwd"	7
"reached"	7
"reagents"	7
"recombination"	7
"referenza"	7
"registered"	7
"relevance"	7
"remained"	7
"removed"	7
"repeatability"	7
"represented"	7
"reproducibility"	7
"residue"	7
"rhabdovirus"	7
"s1"	7
"sarcocysts"	7
"scientific"	7
"scrapie"	7
"se"	7
"short"	7
"simbu"	7
"spoligotyping"	7
"spreading"	7
"staining"	7
"sticky"	7
"stored"	7
"streptococcus"	7
"stressors"	7
"strong"	7
"submitted"	7
"successful"	7
"summer"	7
"surveys"	7
"technique"	7
"tiamulin"	7
"tick"	7
"traps"	7
"trichinella"	7
"turkey"	7
"variable"	7
"vs"	7
"workers"	7
"yielded"	7
"\"g"	6
"&"	6
"(14"	6
"(5"	6
"(9"	6
"(9)istituto"	6
"(95%pci"	6
"(ifs)"	6
"(lepus"	6
"(na)"	6
"(northern"	6
"(pcr)"	6
"(s"	6
"1)"	6
"150"	6
"161"	6
"26900"	6
"3003"	6
"37"	6
"43"	6
"46"	6
"48"	6
"5)"	6
"53"	6
"65"	6
"6an"	6
"89"	6
"9%)"	6
"90%"	6
"99%"	6
"abruzzo"	6
"activated"	6
"agency"	6
"ai"	6
"aiv"	6
"allele"	6
"already"	6
"alterations"	6
"anti-inflammatory"	6
"antigenically"	6
"antiviral"	6
"apparent"	6
"approximately"	6
"asfv"	6
"atcc"	6
"atrophy"	6
"availability"	6
"b)"	6
"baits"	6
"basic"	6
"benefits"	6
"biomedical"	6
"bird"	6
"blocking"	6
"ceftazidime/avibactam"	6
"cfu/g)"	6
"chromatographic"	6
"cleaning"	6
"colony"	6
"comparable"	6
"components"	6
"confirms"	6
"consequence"	6
"conservation"	6
"contagious"	6
"controlled"	6
"council"	6
"counts"	6
"criteria"	6
"daily"	6
"date"	6
"decades"	6
"define"	6
"definitive"	6
"dei"	6
"demonstrating"	6
"design"	6
"developing"	6
"diagnostics"	6
"diatoms"	6
"differentiate"	6
"differentiation"	6
"difficult"	6
"dipartimento"	6
"distributed"	6
"drug"	6
"ducks"	6
"einstein"	6
"encephalitis"	6
"enumeration"	6
"enzymes"	6
"equally"	6
"et"	6
"etiological"	6
"except"	6
"extent"	6
"f"	6
"faculdade"	6
"farrow-to-finish"	6
"farrowing"	6
