jn	abs	pmid
70. Res Vet Sci. 2018 Feb;116:1-3. doi: 10.1016/j.rvsc.2017.09.018. Epub 2017 Sep 20.	 The immune system is part of a whole-organism regulatory network.  Gabai G(1), Amadori M(2), Knight CH(3), Werling D(4).  Author information:  (1)Department of Comparative Biomedicine and Food Science (BCA), University of Padova, Italy. Electronic address: gianfranco.gabai@unipd.it. (2)Laboratory of Cellular Immunology, Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia-Romagna, Brescia, Italy. (3)Institute of Veterinary and Animal Sciences, University of Copenhagen, Denmark. (4)Department of Pathology and Population Sciences, Royal Veterinary College, London, UK.  DOI: 10.1016/j.rvsc.2017.09.018 	28958409
71. Front Public Health. 2017 Sep 5;5:236. doi: 10.3389/fpubh.2017.00236. eCollection	2017.  The Degree of One Health Implementation in the West Nile Virus Integrated Surveillance in Northern Italy, 2016.  Paternoster G(1)(2), Tomassone L(3), Tamba M(1), Chiari M(1), Lavazza A(1), Piazzi M(4), Favretto AR(5), Balduzzi G(6), Pautasso A(7), Vogler BR(8).  Author information:  (1)Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia-Romagna (IZSLER), Brescia, Italy. (2)Department of Diagnostic Medicine/Pathobiology, College of Veterinary Medicine, Kansas State University, Manhattan, KS, United States. (3)Dipartimento di Scienze Veterinarie, Università degli Studi di Torino, Grugliasco, Italy. (4)Servizio di Riferimento Regionale di Epidemiologia per la Sorveglianza la Prevenzione e il Controllo delle Malattie Infettive (SeREMI), Alessandria, Italy. (5)Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali, Università del Piemonte Orientale, Alessandria, Italy. (6)Dipartimento di Scienze Politiche e Sociali, Università degli Studi di Pavia,  Pavia, Italy. (7)Istituto Zooprofilattico Sperimentale del Piemonte, Liguria e Valle d'Aosta (IZSTO), Turin, Italy. (8)Department of Poultry Diseases, Institute of Veterinary Bacteriology, Vetsuisse Faculty, University of Zurich, Zurich, Switzerland.  West Nile virus (WNV) is endemic in the Po valley area, Northern Italy, and within the legal framework of the national plan for the surveillance of human vector-borne diseases, WNV surveillance has over time been implemented. The surveillance plans are based on the transdisciplinary and trans-sectorial collaboration between regional institutions involved in public, animal, and environmental health. This integrated surveillance targets mosquitoes, wild birds, humans, and horses and aims at early detecting the viral circulation and reducing the risk of infection in the human populations. The objective of our study was to assess the degree of One Health (OH) implementation (OH-ness) of the WNV surveillance system in three North Italian regions (Emilia-Romagna, Lombardy, Piedmont) in 2016, following the evaluation protocol developed by the Network for Evaluation of One Health (NEOH). In detail, we (i) described the OH initiative (drivers, outcomes) and its system (boundaries, aim, dimensions, actors, stakeholders) and (ii) scored different aspects of this initiative (i.e., OH-thinking, -planning, -sharing, -learning, transdisciplinarity and leadership), with values from 0 (=no OH approach) to 1 (=perfect OH approach). We obtained a mean score for each aspect evaluated. We reached high scores for OH thinking (0.90) and OH planning (0.89). Lower scores were attributed to OH sharing (0.83), transdisciplinarity and leadership (0.77), and OH learning (0.67), highlighting some critical issues related to communication and learning gaps. The strengths and weaknesses detected by the described quantitative evaluation will be investigated in detail by a qualitative evaluation (process evaluation), aiming to provide a basis for the development of shared recommendations to refine the initiative and conduct it in a more OH-oriented perspective.  DOI: 10.3389/fpubh.2017.00236  PMCID: PMC5591825	28929098
72. Br Poult Sci. 2018 Feb;59(1):7-12. doi: 10.1080/00071668.2017.1381334. Epub 2017 	Oct 27.  Identification of a practical and reliable method for the evaluation of litter moisture in turkey production.  Vinco LJ(1), Giacomelli S(1), Campana L(1), Chiari M(1), Vitale N(1), Lombardi G(1), Veldkamp T(2), Hocking PM(3).  Author information:  (1)a Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna  , Brescia , Italy. (2)b Department Animal Nutrition , Wageningen Livestock Research , Wageningen , The Netherlands. (3)c The Roslin Institute and Royal (Dick) School of Veterinary Studies , University of Edinburgh , Midlothian , UK.  1. An experiment was conducted to compare 5 different methods for the evaluation  of litter moisture. 2. For litter collection and assessment, 55 farms were selected, one shed from each farm was inspected and 9 points were identified within each shed. 3. For each device, used for the evaluation of litter moisture, mean and standard deviation of wetness measures per collection point were assessed. 4. The reliability and overall consistency between the 5 instruments used to measure wetness were high (α = 0.72). 5. Measurement of three out of the  9 collection points were sufficient to provide a reliable assessment of litter moisture throughout the shed. 6. Based on the direct correlation between litter moisture and footpad lesions, litter moisture measurement can be used as a resource based on-farm animal welfare indicator. 7. Among the 5 methods analysed, visual scoring is the most simple and practical, and therefore the best candidate to be used on-farm for animal welfare assessment.  DOI: 10.1080/00071668.2017.1381334 	28922013
73. Sci Rep. 2017 Sep 15;7(1):11660. doi: 10.1038/s41598-017-12012-3.	 Influenza D in Italy: towards a better understanding of an emerging viral infection in swine.  Foni E(1), Chiapponi C(2)(3), Baioni L(2)(3), Zanni I(3), Merenda M(2)(3), Rosignoli C(3), Kyriakis CS(4), Luini MV(3), Mandola ML(5), Bolzoni L(3), Nigrelli AD(3), Faccini S(3).  Author information:  (1)OIE Reference Laboratory for Swine Influenza, Parma, 43123, Italy. emanuela.foni@izsler.it. (2)OIE Reference Laboratory for Swine Influenza, Parma, 43123, Italy. (3)Istituto Zooprofilattico Sperimentale della Lombardia ed Emilia Romagna, Brescia, 25124, Italy. (4)Center for Vaccines and Immunology College of Veterinary Medicine, University  of Georgia, Athens, GA, 30602, USA. (5)Istituto Zooprofilattico Sperimentale of Piemonte, Liguria and Valle d'Aosta,  Turin, 10154, Italy.  Influenza D virus (IDV), a new member of the Orthomyxoviridae family, was first reported in 2011 in swine in Oklahoma, and consequently found in cattle across North America and Eurasia. To investigate the circulation of IDV among pigs in Italy, in the period between June 2015 and May 2016, biomolecular and virological tests were performed on 845 clinical samples collected from 448 pig farms affected by respiratory distress located in the Po Valley. Serological tests were conducted on 3698 swine sera, including archive sera collected in 2009, as well as samples collected in 2015 from the same region. Viral genome was detected in 21 (2.3%) samples from 9 herds (2%), while virus was successfully isolated from 3 samples. Genetic analysis highlighted that Italian swine IDVs are closely related to the D/swine/Oklahoma/1334/2011 cluster. Sera collected in 2015 showed a high prevalence of IDV antibody titers (11.7%), while archive sera from 2009 showed statistically significant lower positivity rates (0.6%). Our results indicate an  increasing epidemiological relevance of the pathogen and the need for in-depth investigations towards understanding its pathogenesis, epidemiology and possible  zoonotic potential of this emerging virus.  DOI: 10.1038/s41598-017-12012-3  PMCID: PMC5600963	28916759
74. BMC Vet Res. 2017 Sep 11;13(1):284. doi: 10.1186/s12917-017-1202-5.	 Prime-boost vaccination with attenuated Salmonella Typhimurium ΔznuABC and inactivated Salmonella Choleraesuis is protective against Salmonella Choleraesuis challenge infection in piglets.  Alborali GL(1), Ruggeri J(2), Pesciaroli M(3)(4), Martinelli N(2), Chirullo B(3), Ammendola S(5), Battistoni A(5), Ossiprandi MC(6), Corradi A(6), Pasquali P(7).  Author information:  (1)Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna [Experimental Zooprophylactic Institute of Lombardy and Emilia Romagna], 25124, Brescia, Italy. giovanni.alborali@izsler.it. (2)Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna [Experimental Zooprophylactic Institute of Lombardy and Emilia Romagna], 25124, Brescia, Italy. (3)FAO Reference Center for Veterinary Public Health, Department of Veterinary Public Health and Food Safety, Istituto Superiore di Sanità, 00161, Rome, Italy. (4)UCM-UPM, Campus Moncloa, Madrid, Spain. (5)Department of Biology, Università di Roma Tor Vergata, 00133, Rome, Italy. (6)Department of Veterinary Sciences, University of Parma, Parma, Italy. (7)FAO Reference Center for Veterinary Public Health, Department of Veterinary Public Health and Food Safety, Istituto Superiore di Sanità, 00161, Rome, Italy.  paolo.pasquali@iss.it.  BACKGROUND: Salmonella enterica serovar Choleraesuis (S. Choleraesuis) infection  causes a systemic disease in pigs. Vaccination could represent a solution to reduce prevalence in farms. In this study, we aimed to assess the efficacy of an  attenuated strain of Salmonella enterica serovar Typhimurium (S. Typhimurium ΔznuABC) against S. Choleraesuis infection. The vaccination protocol combined priming with attenuated S. Typhimurium ΔznuABC vaccine and boost with an inactivated S. Choleraesuis vaccine and we compared the protection conferred to that induced by an inactivated S. Choleraesuis vaccine. METHODS: The first group of piglets was orally vaccinated with S. Typhimurium ΔznuABC and boosted with inactivated S. Choleraesuis, the second one was intramuscularly vaccinated with S. Choleraesuis inactivated vaccine and the third group of piglets was unvaccinated. All groups of animals were challenged with a virulent S. Choleraesuis strain at day 35 post vaccination. RESULTS: The results showed that the vaccination protocol, priming with S. Typhimurium ΔznuABC and boosted with inactivated S. Choleraesuis, applied to group A was able to limit weight loss, fever and organs colonization, arising from infection with virulent S. Choleraesuis, more effectively, than the prime-boost vaccination with homologous S. Choleraesuis inactivated vaccine (group B). CONCLUSION: In conclusion, these research findings extend the validity of attenuated S. Typhimurium ΔznuABC strain as a useful mucosal vaccine against S. Typhimurium and S. Choleraesuis pig infection. The development of combined vaccination protocols can have a diffuse administration in field conditions because animals are generally infected with different concomitant serovars.  DOI: 10.1186/s12917-017-1202-5  PMCID: PMC5594465	28893256
75. Food Chem. 2018 Jan 15;239:141-147. doi: 10.1016/j.foodchem.2017.06.028. Epub	2017 Jun 23.  Are tropane alkaloids present in organic foods? Detection of scopolamine and atropine in organic buckwheat (Fagopyron esculentum L.) products by UHPLC-MS/MS.  Cirlini M(1), Demuth TM(2), Biancardi A(3), Rychlik M(4), Dall'Asta C(5), Bruni R(1).  Author information:  (1)Department of Food and Drug - LS9 Interlab Group, University of Parma, Via G.P. Usberti 95/a, 43134 Parma, Italy. (2)Department of Food and Drug - LS9 Interlab Group, University of Parma, Via G.P. Usberti 95/a, 43134 Parma, Italy; Technische Universität München, Alte Akademie 10, D-85354 Freising, Germany. (3)Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia-Romagna, Brescia, Italy. (4)Technische Universität München, Alte Akademie 10, D-85354 Freising, Germany. (5)Department of Food and Drug - LS9 Interlab Group, University of Parma, Via G.P. Usberti 95/a, 43134 Parma, Italy. Electronic address: chiara.dallasta@unipr.it.  A closer monitoring of tropane alkaloids (TA) in foods is now recommended by the  European Commission, following a series of alerts related to the contamination of buckwheat with weeds of the genus Datura. A novel, accurate UHPLC-MS/MS method was developed and validated for the rapid detection of scopolamine and atropine in buckwheat foods. A suitable extraction protocol was set up to maximize recoveries and detection limits in different raw, processed and baked foods. The  method offers good performances in terms of sensitivity, accuracy and precision,  with LOQs at 0.04 and 0.10µg/kg. The established method is suitable for routine determination of trace levels of TA and was applied to 26 different buckwheat-derived organic foods, detecting TA in 3 samples (13.9-83.9µg/kg for atropine and 5.7-10.4µg/kg for scopolamine). Only in one case the level of contamination was relevant in terms of food safety.  Copyright © 2017 Elsevier Ltd. All rights reserved.  DOI: 10.1016/j.foodchem.2017.06.028 	28873551
76. Mamm Genome. 2017 Dec;28(11-12):520-527. doi: 10.1007/s00335-017-9714-7. Epub	2017 Sep 1.  Identification of additional loci associated with antibody response to Mycobacterium avium ssp. Paratuberculosis in cattle by GSEA-SNP analysis.  Del Corvo M(1)(2), Luini M(3), Stella A(4)(5), Pagnacco G(6), Ajmone-Marsan P(7)(8), Williams JL(9), Minozzi G(4)(6).  Author information:  (1)Parco Tecnologico Padano, via Einstein, 2600, Lodi, Italy. marcello.delcorvo@unicatt.it. (2)Istituto di Zootecnica, Università Cattolica del Sacro Cuore, Piacenza, Italy. marcello.delcorvo@unicatt.it. (3)Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna, Lodi, Italy. (4)Parco Tecnologico Padano, via Einstein, 2600, Lodi, Italy. (5)Istituto di Biologia e Biotecnologia Agraria, Consiglio Nazionale delle Ricerche, Lodi, Italy. (6)DIVET, University of Milan, Via Celoria 10, Milan, Italy. (7)Istituto di Zootecnica, Università Cattolica del Sacro Cuore, Piacenza, Italy. (8)Nutrigenomics and Proteomics Research Center PRONUTRIGEN, Università Cattolica del Sacro Cuore, Piacenza, Italy. (9)School of Animal and Veterinary Sciences, University of Adelaide, Roseworthy,  SA, 5371, Australia.  Mycobacterium avium subsp. paratuberculosis: (MAP) causes a contagious chronic infection results in Johne's disease in a wide range of animal species, including cattle. Several genome-wide association studies (GWAS) have been carried out to identify loci putatively associated with MAP susceptibility by testing each marker separately and identifying SNPs that show a significant association with the phenotype, while SNP with modest effects are usually ignored. The objective of this study was to identify modest-effect genes associated with MAP susceptibility using a pathway-based approach. The Illumina BovineSNP50 BeadChip  was used to genotype 966 Holstein cows, 483 positive and 483 negative for antibody response to MAP, data were then analyzed using novel SNP-based Gene Set  Enrichment Analysis (GSEA-SNP) and validated with Adaptive Rank Truncated Product methodology. An allele-based test was carried out to estimate the statistical association for each marker with the phenotype, subsequently SNPs were mapped to  the closest genes, considering for each gene the single variant with the highest  value within a window of 50 kb, then pathway-statistics were tested using the GSEA-SNP method. The GO biological process "embryogenesis and morphogenesis" was  most highly associated with antibody response to MAP. Within this pathway, five genes code for proteins which play a role in the immune defense relevant to response to bacterial infection. The immune response genes identified would not have been considered using a standard GWAS, thus demonstrating that the pathway approach can extend the interpretation of genome-wide association analyses and identify additional candidate genes for target traits.  DOI: 10.1007/s00335-017-9714-7 	28864882
77. PLoS Curr. 2017 Jul 6;9. pii:	ecurrents.outbreaks.633fd8994e9f06f31b3494567c7e504c. doi: 10.1371/currents.outbreaks.633fd8994e9f06f31b3494567c7e504c.  Genomic Characterization Helps Dissecting an Outbreak of Listeriosis in Northern  Italy.  Comandatore F, Corbella M(1), Andreoli G(2), Scaltriti E(3), Aguzzi M(4), Gaiarsa S(5), Mariani B(1), Morganti M(3), Bandi C(6), Fabbi M(2), Marone P(7), Pongolini S(8), Sassera D.  Author information:  (1)S.C. Microbiologia e Virologia, Fondazione IRCCS Policlinico San Matteo, Pavia, Italia. (2)Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna, Pavia, Italy. (3)Servizio di Analisi del Rischio, Direzione Sanitaria, Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia-Romagna (IZSLER), Parma, Italy. (4)Dipartimento di Prevenzione Veterinaria, Agenzia della Salute di Pavia, Pavia, Italy. (5)SC di Microbiologia e Virologia, Fondazione IRCCS Policlinico San Matteo, Pavia, Italy. (6)Dipartimento di Bioscienze, Università degli Studi di Milano, Milano, Italy. (7)SC Microbiologia e Virologia, Fondazione IRCCS Policlinico San Matteo, Pavia,  Italy. (8)Direzione Sanitaria, Servizio di Analisi del Rischio, Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia-Romagna (IZSLER), Parma Italy.  INTRODUCTION: Listeria monocytogenes (Lm) is a bacterium widely distributed in nature and able to contaminate food processing environments, including those of dairy products. Lm is a primary public health issue, due to the very low infectious dose and the ability to produce severe outcomes, in particular in elderly, newborns, pregnant women and immunocompromised patients. METHODS: In the period between April and July 2015, an increased number of cases  of listeriosis was observed in the area of Pavia, Northern Italy. An epidemiological investigation identified a cheesemaking small organic farm as the possible origin of the outbreak. In this work we present the results of the retrospective epidemiological study that we performed using molecular biology and genomic epidemiology methods. The strains sampled from patients and those from the target farm's cheese were analyzed using PFGE and whole genome sequencing (WGS) based methods. The performed WGS based analyses included: a) in-silico MLST typing; b) SNPs calling and genetic distance evaluation; c) determination of the  resistance and virulence genes profiles; d) SNPs based phylogenetic reconstruction. RESULTS: Three of the patient strains and all the cheese strains resulted to belong to the same phylogenetic cluster, in Sequence Type 29. A further accurate  SNPs analysis revealed that two of the three patient strains and all the cheese strains were highly similar (0.8 SNPs of average distance) and exhibited a higer  distance from the third patient isolate (9.4 SNPs of average distance). DISCUSSION: Despite the global agreement among the results of the PFGE and WGS epidemiological studies, the latter approach agree with epidemiological data in indicating that one the patient strains could have originated from a different source. This result highlights that WGS methods can allow to better.  DOI: 10.1371/currents.outbreaks.633fd8994e9f06f31b3494567c7e504c  PMCID: PMC5510990	28856063
78. Math Biosci. 2017 Oct;292:86-96. doi: 10.1016/j.mbs.2017.07.011. Epub 2017 Aug 8.	 Time-optimal control strategies in SIR epidemic models.  Bolzoni L(1), Bonacini E(2), Soresina C(3), Groppi M(2).  Author information:  (1)Risk Analysis Unit, Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna, Via dei Mercati 13, Parma 43126, Italy. Electronic address:  luca.bolzoni@izsler.it. (2)Department of Mathematics and Computer Science, University of Parma, Parco Area delle Scienze 53/A, Parma 43124, Italy. (3)Department of Mathematics "F. Enriques", University of Milano, Via C. Saldini  50, Milano 20133, Italy.  We investigate the time-optimal control problem in SIR (Susceptible-Infected-Recovered) epidemic models, focusing on different control policies: vaccination, isolation, culling, and reduction of transmission. Applying the Pontryagin's Minimum Principle (PMP) to the unconstrained control problems (i.e. without costs of control or resource limitations), we prove that,  for all the policies investigated, only bang-bang controls with at most one switch are admitted. When a switch occurs, the optimal strategy is to delay the control action some amount of time and then apply the control at the maximum rate for the remainder of the outbreak. This result is in contrast with previous findings on the unconstrained problems of minimizing the total infectious burden  over an outbreak, where the optimal strategy is to use the maximal control for the entire epidemic. Then, the critical consequence of our results is that, in a  wide range of epidemiological circumstances, it may be impossible to minimize the total infectious burden while minimizing the epidemic duration, and vice versa. Moreover, numerical simulations highlighted additional unexpected results, showing that the optimal control can be delayed also when the control reproduction number is lower than one and that the switching time from no control to maximum control can even occur after the peak of infection has been reached. Our results are especially important for livestock diseases where the minimization of outbreaks duration is a priority due to sanitary restrictions imposed to farms during ongoing epidemics, such as animal movements and export bans.  Copyright © 2017 Elsevier Inc. All rights reserved.  DOI: 10.1016/j.mbs.2017.07.011 	28801246
79. Euro Surveill. 2017 Aug 3;22(31). pii: 30589. doi:	10.2807/1560-7917.ES.2017.22.31.30589.  Novel plasmid-mediated colistin resistance mcr-4 gene in Salmonella and Escherichia coli, Italy 2013, Spain and Belgium, 2015 to 2016.  Carattoli A(1), Villa L(1), Feudi C(1)(2), Curcio L(3), Orsini S(3), Luppi A(4),  Pezzotti G(3), Magistrali CF(3).  Author information:  (1)Department of Infectious Diseases, Istituto Superiore di Sanità, Rome, Italy. (2)Institute of Microbiology and Epizootics, Centre for Infection Medicine, Department of Veterinary Medicine, Freie Universität Berlin, Berlin, Germany. (3)Istituto Zooprofilattico Sperimentale dell'Umbria e delle Marche, Perugia, Italy. (4)Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna, Reggio Emilia, Italy.  A novel mcr colistin resistance gene was identified in a strain of Salmonella enterica, monophasic variant of serovar Typhimurium (4,5,12:i:- ), isolated from  a pig at slaughter in Italy in 2013, and in Escherichia coli strains collected during routine diagnostic of post-weaning diarrhoea in pigs from Spain and Belgium in 2015 and 2016. Immediate implementation of mcr-screening including this novel gene variant is required for Salmonella and E. coli from humans and food-producing animals in Europe.  This article is copyright of The Authors, 2017.  DOI: 10.2807/1560-7917.ES.2017.22.31.30589  PMCID: PMC5553062	28797329
80. PLoS Negl Trop Dis. 2017 Aug 10;11(8):e0005660. doi:	10.1371/journal.pntd.0005660. eCollection 2017 Aug.  Phlebotomine sand fly-borne pathogens in the Mediterranean Basin: Human leishmaniasis and phlebovirus infections.  Moriconi M(1), Rugna G(2), Calzolari M(3), Bellini R(4), Albieri A(4), Angelini P(5), Cagarelli R(5), Landini MP(1)(6), Charrel RN(7)(8), Varani S(1)(9).  Author information:  (1)Department of Experimental, Diagnostic and Specialty Medicine, University of Bologna, Bologna, Italy. (2)Modena Unit, Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna, Brescia, Italy. (3)Laboratory of Entomology, Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna, Reggio Emilia, Italy. (4)Department of Medical and Veterinary Entomology, Centro Agricoltura Ambiente "G. Nicoli," Crevalcore, Italy. (5)Public Health Authority, Emilia-Romagna Region, Bologna, Italy. (6)Istituto di Ricovero e Cura a carattere scientifico, Istituto Ortopedico Rizzoli, Bologna, Italy. (7)UMR "Emergence des Pathologies Virales" (EPV: Aix-Marseille Univ-IRD 190-Inserm 1207-EHESP), Marseille, France. (8)Fondation IHU Mediterranee Infection, APHM Public Hospitals of Marseille, Marseille, France. (9)Unit of Clinical Microbiology, Regional Reference Centre for Microbiological Emergencies (CRREM), St. Orsola-Malpighi University Hospital, Bologna, Italy.  Pathogens transmitted to humans by phlebotomine sand flies are neglected, as they cause infectious diseases that are not on the priority list of national and international public health systems. However, the infections caused by protozoa of the Leishmania genus and viruses belonging to the Phlebovirus genus (family Phenuiviridae)-the most significant group of viruses transmitted by sand flies-have a relevant role for human pathology. These infections are emerging in  the Mediterranean region and will likely spread in forthcoming decades, posing a  complex threat to human health. Four species and 2 hybrid strains of Leishmania are pathogenic for humans in the Mediterranean Basin, with an estimated annual incidence of 239,500-393,600 cases of cutaneous leishmaniasis and 1,200-2,000 cases of visceral leishmaniasis. Among the phleboviruses, Toscana virus can cause neuroinvasive infections, while other phleboviruses are responsible for a typical "3-day fever"; the actual incidence of Phlebovirus infections in the Mediterranean area is unknown, although at least 250 million people are exposed.  Here, we reviewed the current literature on epidemiology of sand fly-borne infections in the Mediterranean Basin, with a focus on humans. Our analysis indicates the need for increased public health activities directed to determine the disease burden of these infections as well as to improve their surveillance.  Among the emerging challenges concerning sand fly-borne pathogens, the relationships between sand fly-borne protozoa and viruses should be considered in future studies, including epidemiological links between Leishmania and phleboviruses as well as the conditional capacity for these pathogens to be involved in interactions that may evolve towards increased virulence.  DOI: 10.1371/journal.pntd.0005660  PMCID: PMC5552025	28796786
81. Porcine Health Manag. 2017 Aug 8;3:16. doi: 10.1186/s40813-017-0063-4.	eCollection 2017.  Swine enteric colibacillosis: diagnosis, therapy and antimicrobial resistance.  Luppi A(1).  Author information:  (1)Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna (IZSLER), Brescia, Italy.  Intestinal infection with enterotoxigenic Escherichia coli (ETEC) is an important disease in swine resulting in significant economic losses. Knowledge about the epidemiology, the diagnostic approach and methods of control are of fundamental importance to tackle the disease. The ETEC causing neonatal colibacillosis mostly carry the fimbriae F4 (k88), F5 (k99), F6 (987P) or F41, while the ETEC of post-weaning diarrhoea carry the fimbriae F4 (k88) and F18. These fimbriae adhere to specific receptors on porcine intestinal brush border epithelial cells (enterocytes), starting the process of enteric infection. After this colonization, the bacteria produce one or more enterotoxins inducing diarrhoea, such as the heat stable toxin a (STa), the heat stable toxin b (STb), and the heat labile toxin (LT). A role in the pathogenesis of the disease was demonstrated for these toxins. The diagnosis of enteric colibacillosis is based on the isolation and quantification of the pathogenic E.coli coupled with the demonstration by PCR of the genes encoding for virulence factors (fimbriae and toxins). The diagnostic approach to enteric colibacillosis must consider the differential diagnosis and the potential different causes that can be involved in the outbreak. Among the different methods of control of colibacillosis, the use of antimicrobials is widely practiced and antibiotics are used in two main ways:  as prophylactic or metaphylactic treatment to prevent disease and for therapeutic purposes to treat diseased pigs. An accurate diagnosis of enteric colibacillosis  needs an appropriate sampling for the isolation and quantification of the ETEC responsible for the outbreak by using semi-quantitative bacteriology. Definitive  diagnosis is based on the presence of characteristic lesions and results of bacteriology along with confirmation of appropriate virulence factors to identify the isolated E.coli. It is important to confirm the diagnosis and to perform antimicrobial sensitivity tests because antimicrobial sensitivity varies greatly  among E. coli isolates. Growing concern on the increase of antimicrobial resistance force a more rational use of antibiotics and this can be achieved through a correct understanding of the issues related to antibiotic therapy and to the use of antibiotics by both practitioners and farmers.  DOI: 10.1186/s40813-017-0063-4  PMCID: PMC5547460	28794894
82. Zoonoses Public Health. 2018 Feb;65(1):114-123. doi: 10.1111/zph.12378. Epub 2017	Aug 8.  Genetic analysis of human and swine influenza A viruses isolated in Northern Italy during 2010-2015.  Chiapponi C(1)(2), Ebranati E(3), Pariani E(4), Faccini S(2), Luppi A(2), Baioni  L(1)(2), Manfredi R(1)(2), Carta V(3), Merenda M(1)(2), Affanni P(5), Colucci ME(5), Veronesi L(5), Zehender G(3), Foni E(1)(2).  Author information:  (1)OIE Reference Laboratory for Swine Influenza, Parma, Italy. (2)Istituto Zooprofilattico Sperimentale della Lombardia ed Emilia Romagna, Brescia, Italy. (3)Dipartimento di Scienze Biomediche e Cliniche "Luigi Sacco", Sezione di Malattie Infettive, Università degli Studi di Milano, Milan, Italy. (4)Dipartimento di Scienze Biomediche per la Salute, Università degli Studi di Milano, Milan, Italy. (5)Dipartimento di Scienze Biomediche, Biotecnologiche e Traslazionali, Università degli Studi di Parma, Parma, Italy.  Influenza A virus (IAV) infection in swine plays an important role in the ecology of influenza viruses. The emergence of new IAVs comes through different mechanisms, with the genetic reassortment of genes between influenza viruses, also originating from different species, being common. We performed a genetic analysis on 179 IAV isolates from humans (n. 75) and pigs (n. 104) collected in Northern Italy between 2010 and 2015, to monitor the genetic exchange between human and swine IAVs. No cases of human infection with swine strains were noticed, but direct infections of swine with H1N1pdm09 strains were detected. Moreover, we pointed out a continuous circulation of H1N1pdm09 strains in swine populations evidenced by the introduction of internal genes of this subtype. These events contribute to generating new viral variants-possibly endowed with pandemic potential-and emphasize the importance of continuous surveillance at both animal and human level.  © 2017 The Authors. Zoonoses and Public Health published by Blackwell Verlag GmbH.  DOI: 10.1111/zph.12378 	28791803
83. J Med Microbiol. 2017 Aug 4. doi: 10.1099/jmm.0.000536. [Epub ahead of print]	 Comparison of semi-automated commercial rep-PCR fingerprinting, spoligotyping, 12-locus MIRU-VNTR typing and single nucleotide polymorphism analysis of the embB gene as molecular typing tools for Mycobacterium bovis.  Armas F(1), Camperio C(1), Coltella L(2), Selvaggini S(3), Boniotti MB(4), Pacciarini ML(4), Di Marco Lo Presti V(5), Marianelli C(1).  Author information:  (1)1​Department of Food Safety, Nutrition and Veterinary Public Health, Istituto  Superiore di Sanità, Rome, Italy. (2)2​Microbiology Laboratory, Bambino Gesù Paediatric Hospital, Rome, Italy. (3)3​bioMérieux Italia SpA, Italy. (4)4​National Reference Centre for Mycobacterium Bovis Tuberculosis, Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna, Brescia, Italy. (5)5​Istituto Zooprofilattico Sperimentale della Sicilia, Barcellona Pozzo di Gotto, Messina, Italy.  PURPOSE: Highly discriminatory genotyping strategies are essential in molecular epidemiological studies of tuberculosis. In this study we evaluated, for the first time, the efficacy of the repetitive sequence-based PCR (rep-PCR) DiversiLab Mycobacterium typing kit over spoligotyping, 12-locus mycobacterial interspersed repetitive unit-variable number tandem repeat (MIRU-VNTR) typing and embB single nucleotide polymorphism (SNP) analysis for Mycobacterium bovis typing. METHODOLOGY: A total of 49 M. bovis animal isolates were used. DNA was extracted  and genomic DNA was amplified using the DiversiLab Mycobacterium typing kit. The  amplified fragments were separated and detected using a microfluidics chip with Agilent 2100. The resulting rep-PCR-based DNA fingerprints were uploaded to and analysed using web-based DiversiLab software through Pearson's correlation coefficient. RESULTS: Rep-PCR DiversiLab grouped M. bovis isolates into ten different clusters. Most isolates sharing identical spoligotype, MIRU-VNTR profile or embB  gene polymorphism were grouped into different rep-PCR clusters. Rep-PCR DiversiLab displayed greater discriminatory power than spoligotyping and embB SNP analysis but a lower resolution power than the 12-locus MIRU-VNTR analysis. MIRU-VNTR confirmed that it is superior to the other PCR-based methods tested here. CONCLUSION: In combination with spoligotyping and 12-locus MIRU-VNTR analysis, rep-PCR improved the discriminatory power for M. bovis typing.  DOI: 10.1099/jmm.0.000536 	28771142
